network,channel,station,data,endtime,starttime,sampling_rate,location
ZZ,HHE,FWU3,[ -2718   -384  -1595 ...  11287 -15821  -3071],2019-12-26T23:59:59.996000,2019-12-26T00:00:00,250.0,10
ZZ,HHE,FWU3,[ 1313  1352  1389 ... -1601   130  1031],2019-11-02T23:59:59.996000,2019-11-02T00:00:00,250.0,10
ZZ,HHE,FWU3,[-7410 -5221  3344 ... -3956  4921 11622],2019-12-22T23:59:59.996000,2019-12-22T00:00:00,250.0,10
ZZ,HHE,FWU3,[-11938  -1006  11098 ...   -350   -485   -682],2019-12-15T23:59:59.996000,2019-12-15T00:00:00,250.0,10
ZZ,HHE,FWU3,[-6507 -5165 -3379 ...  -315    59  -251],2019-11-28T23:59:59.996000,2019-11-28T00:00:00,250.0,10
ZZ,HHE,FWU3,[ 1165  3176   295 ...  7827  9068 -7839],2019-12-14T23:59:59.996000,2019-12-14T00:00:00,250.0,10
ZZ,HHE,FWU3,[-4476 -4407 -4417 ... -5466 -2645  -426],2019-12-01T23:59:59.996000,2019-12-01T00:00:00,250.0,10
ZZ,HHE,FWU3,[  136   -96  -365 ...  4032 -3951 -7542],2019-11-25T23:59:59.996000,2019-11-25T00:00:00,250.0,10
ZZ,HHE,FWU3,[ 12842   5643 -18878 ...    151    180    420],2019-11-24T23:59:59.996000,2019-11-24T00:00:00,250.0,10
ZZ,HHE,FWU3,[40413 42777 22416 ... -1518  -841  -241],2019-12-05T23:59:59.996000,2019-12-05T00:00:00,250.0,10
ZZ,HHE,FWU3,[ -1064  -1226    459 ... -13775   5665   7584],2019-11-23T23:59:59.996000,2019-11-23T00:00:00,250.0,10
ZZ,HHE,FWU3,[  213   608   577 ... -3106 -3449 -2328],2019-11-15T23:59:59.996000,2019-11-15T00:00:00,250.0,10
ZZ,HHE,FWU3,[-1962 -2085 -2233 ...  1254  1253  1219],2019-11-01T23:59:59.996000,2019-11-01T00:00:00,250.0,10
ZZ,HHE,FWU3,[ 1809   872  -789 ... -4196 -7824   760],2019-11-07T23:59:59.996000,2019-11-07T00:00:00,250.0,10
ZZ,HHE,FWU3,[ -325   -80  -226 ... -1640 -1126  -121],2019-11-29T23:59:59.996000,2019-11-29T00:00:00,250.0,10
ZZ,HHE,FWU3,[1933 2298  402 ... 2460 -316 2308],2019-12-24T23:59:59.996000,2019-12-24T00:00:00,250.0,10
ZZ,HHE,FWU3,[-6415 -2694 -4183 ... -1741 -1427    61],2019-11-06T23:59:59.996000,2019-11-06T00:00:00,250.0,10
ZZ,HHE,FWU3,[ -1490 -17770  -9469 ...  -1081   -851   -997],2019-12-09T23:59:59.996000,2019-12-09T00:00:00,250.0,10
ZZ,HHE,FWU3,[-2618 -2072 -1084 ...  8453 -1204  7541],2019-12-12T23:59:59.996000,2019-12-12T00:00:00,250.0,10
ZZ,HHE,FWU3,[ 7831 -1269 -3573 ... 25877 25800 25328],2019-11-05T18:49:16.284000,2019-11-05T00:00:00,250.0,10
ZZ,HHE,FWU3,[  302 -3373  1162 ...  -990  2706 -5013],2019-12-25T23:59:59.996000,2019-12-25T00:00:00,250.0,10
ZZ,HHE,FWU3,[ 10877 -22563   4706 ...   1270   1022  28416],2019-12-27T01:55:33.216000,2019-12-27T00:00:00,250.0,10
ZZ,HHE,FWU3,[-134 -346  704 ... 2598 2408 1639],2019-12-19T23:59:59.996000,2019-12-19T00:00:00,250.0,10
ZZ,HHE,FWU3,[222  77 386 ... 356 463 178],2019-11-20T23:59:59.996000,2019-11-20T00:00:00,250.0,10
ZZ,HHE,FWU3,[ 19039 -11571 -31177 ...  -8294  -9940  -5511],2019-12-13T23:59:59.996000,2019-12-13T00:00:00,250.0,10
ZZ,HHE,FWU3,[  -91    35    10 ... -1221 -1341 -2536],2019-11-21T23:59:59.996000,2019-11-21T00:00:00,250.0,10
ZZ,HHE,FWU3,[ 12587  11221 -13840 ... -27995  18744   8514],2019-11-26T23:59:59.996000,2019-11-26T00:00:00,250.0,10
ZZ,HHE,FWU3,[  -822   -992  -1393 ...  21123  -3767 -38608],2019-11-12T08:32:45.560000,2019-11-12T00:00:00,250.0,10
ZZ,HHE,FWU3,[11530  6190   242 ...  -200  -425   209],2019-12-23T23:59:59.996000,2019-12-23T00:00:00,250.0,10
ZZ,HHE,FWU3,[ -330  -667 -1103 ...  2012  1915   756],2019-12-06T23:59:59.996000,2019-12-06T00:00:00,250.0,10
ZZ,HHE,FWU3,[-1073 -1324 -2836 ...  -395  2203  8841],2019-11-09T23:59:59.996000,2019-11-09T00:00:00,250.0,10
ZZ,HHE,FWU3,[  505  1121  1357 ... -3691 -3868 -4268],2019-11-30T23:59:59.996000,2019-11-30T00:00:00,250.0,10
ZZ,HHE,FWU3,[-1055 -4816 -3984 ...  -675  -812  -755],2019-11-11T23:59:59.996000,2019-11-11T00:00:00,250.0,10
ZZ,HHE,FWU3,[ -9043  -8798  -7143 ... -33788 -26054  10376],2019-12-04T23:59:59.996000,2019-12-04T00:00:00,250.0,10
ZZ,HHE,FWU3,[ -2976 -11244  15436 ...   2055   1366    865],2019-12-18T23:59:59.996000,2019-12-18T00:00:00,250.0,10
ZZ,HHE,FWU3,[-1039 -2527 -3052 ...  1274   529   322],2019-12-07T23:59:59.996000,2019-12-07T00:00:00,250.0,10
ZZ,HHE,FWU3,[-2097 -1911 -2522 ... -2123   735   770],2019-11-22T23:59:59.996000,2019-11-22T00:00:00,250.0,10
ZZ,HHE,FWU3,[-4618 -2866 -3711 ... -1434 -1533 -1499],2019-11-18T23:59:59.996000,2019-11-18T00:00:00,250.0,10
ZZ,HHE,FWU3,[  -766   -651   -560 ...  -5843 -11339  -8563],2019-12-16T23:59:59.996000,2019-12-16T00:00:00,250.0,10
ZZ,HHE,FWU3,[ 6046 -2591  -474 ...   391  1067    88],2019-11-08T23:59:59.996000,2019-11-08T00:00:00,250.0,10
ZZ,HHE,FWU3,[ 1829  1435  1845 ... 29332 26725 19207],2019-11-03T23:59:59.996000,2019-11-03T00:00:00,250.0,10
ZZ,HHE,FWU3,[ -876  -921 -1228 ...   323 -2856  -203],2019-11-13T23:59:59.996000,2019-11-13T00:00:00,250.0,10
ZZ,HHE,FWU3,[-3160 -5662  -838 ... -1312 -1439 -1057],2019-12-02T23:59:59.996000,2019-12-02T00:00:00,250.0,10
ZZ,HHE,FWU3,[ -8254 -26586 -17334 ...  24384  -7903 -26631],2019-11-04T23:59:59.996000,2019-11-04T00:00:00,250.0,10
ZZ,HHE,FWU3,[ -9712 -19180 -16936 ...  -5884  -6576  -3662],2019-12-21T23:59:59.996000,2019-12-21T00:00:00,250.0,10
ZZ,HHE,FWU3,[-1253  -978  -950 ... -2205 -2213 -1932],2019-12-10T23:59:59.996000,2019-12-10T00:00:00,250.0,10
ZZ,HHE,FWU3,[   38  -332   142 ... -5820 13020 17324],2019-12-08T23:59:59.996000,2019-12-08T00:00:00,250.0,10
ZZ,HHE,FWU3,[-1676  -659   290 ... -3149 -4036 -3286],2019-12-11T23:59:59.996000,2019-12-11T00:00:00,250.0,10
ZZ,HHE,FWU3,[ -1529   2413   5874 ...  -7916 -14590  -2453],2019-12-17T23:59:59.996000,2019-12-17T00:00:00,250.0,10
ZZ,HHE,FWU3,[  3945  -9510 -13506 ...  -3354  -2241    163],2019-11-10T23:59:59.996000,2019-11-10T00:00:00,250.0,10
ZZ,HHE,FWU3,[-21986  22176  -7210 ...   6031   4907  -7173],2019-11-27T23:59:59.996000,2019-11-27T00:00:00,250.0,10
ZZ,HHE,FWU3,[1663  344 3945 ...   49   55  -65],2019-11-14T23:59:59.996000,2019-11-14T00:00:00,250.0,10
ZZ,HHE,FWU3,[-1416 -1508 -1639 ...   312  1367   944],2019-11-19T23:59:59.996000,2019-11-19T00:00:00,250.0,10
ZZ,HHE,FWU3,[  1250   1737   2299 ...  -1258 -12200  -7834],2019-12-20T23:59:59.996000,2019-12-20T00:00:00,250.0,10
ZZ,HHE,FWU3,[-1099 -1461 -1416 ...  3259 -3334 -7933],2019-12-03T23:59:59.996000,2019-12-03T00:00:00,250.0,10
ZZ,HHE,FWU3,[-1258 -1252 -1932 ... -2143 -2147 -2185],2019-10-31T23:59:59.996000,2019-10-31T00:00:00,250.0,10
ZZ,HHE,FWU3,[ -283  -240   -45 ... -3532 -9727 -8701],2019-11-17T23:59:59.996000,2019-11-17T00:00:00,250.0,10
ZZ,HHE,FWU3,[-114 1935 2881 ... -325 -407   11],2019-11-16T23:59:59.996000,2019-11-16T00:00:00,250.0,10
ZZ,HHN,FWU3,[ 5437 -2033  -986 ... -1030 -1132 -1644],2019-11-24T23:59:59.996000,2019-11-24T00:00:00,250.0,10
ZZ,HHN,FWU3,[-5137    -7  5463 ... -1418 -1240 -1105],2019-11-28T23:59:59.996000,2019-11-28T00:00:00,250.0,10
ZZ,HHN,FWU3,[-1052  -893  -653 ... -5355  -475  5315],2019-11-02T23:59:59.996000,2019-11-02T00:00:00,250.0,10
ZZ,HHN,FWU3,[16596 10212  2759 ...   295   371   290],2019-12-02T23:59:59.996000,2019-12-02T00:00:00,250.0,10
ZZ,HHN,FWU3,[ -657  -652  -597 ... -5498  9215 14881],2019-11-12T08:32:45.876000,2019-11-12T00:00:00,250.0,10
ZZ,HHN,FWU3,[-1588 -1944 -1986 ...  -977  6144  2663],2019-12-08T23:59:59.996000,2019-12-08T00:00:00,250.0,10
ZZ,HHN,FWU3,[-6372  1395  5597 ... -1199 -1211 -1185],2019-11-18T23:59:59.996000,2019-11-18T00:00:00,250.0,10
ZZ,HHN,FWU3,[-1705 -5702 -5862 ...  1076 -7161   935],2019-11-23T23:59:59.996000,2019-11-23T00:00:00,250.0,10
ZZ,HHN,FWU3,[ -981  -764  -491 ... -2320 -2241 -2228],2019-10-31T23:59:59.996000,2019-10-31T00:00:00,250.0,10
ZZ,HHN,FWU3,[-12525 -17209  12036 ...     -4   -903  -1386],2019-12-18T23:59:59.996000,2019-12-18T00:00:00,250.0,10
ZZ,HHN,FWU3,[ -7117   -425  -8633 ...   1338  -8937 -28766],2019-12-27T01:55:33.468000,2019-12-27T00:00:00,250.0,10
ZZ,HHN,FWU3,[ 13784  17813  13624 ...  11345 -13450     36],2019-12-17T23:59:59.996000,2019-12-17T00:00:00,250.0,10
ZZ,HHN,FWU3,[ 234  145 -282 ... 1772 1536  459],2019-12-06T23:59:59.996000,2019-12-06T00:00:00,250.0,10
ZZ,HHN,FWU3,[12292  5743   354 ... -1834  -629   880],2019-11-08T23:59:59.996000,2019-11-08T00:00:00,250.0,10
ZZ,HHN,FWU3,[-3703 -3972 -4202 ...  3045 10543 16654],2019-12-01T23:59:59.996000,2019-12-01T00:00:00,250.0,10
ZZ,HHN,FWU3,[-1245  -483   382 ...   500  -593 -2358],2019-12-19T23:59:59.996000,2019-12-19T00:00:00,250.0,10
