network,channel,station,data,endtime,starttime,sampling_rate,location
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-28T23:59:59.996000,2019-12-28T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-17T23:59:59.996000,2019-11-17T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-21T23:59:59.996000,2019-12-21T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-14T23:59:59.996000,2019-12-14T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-06T23:59:59.996000,2019-12-06T00:00:00,250.0,10
ZZ,HHE,FWU4,[1896504 1895444 1894518 ... -530116 -532991 -535956],2019-11-10T23:59:59.996000,2019-11-10T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-07T23:59:59.996000,2019-12-07T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-01T23:59:59.996000,2019-12-01T00:00:00,250.0,10
ZZ,HHE,FWU4,[ 504467  505587  507517 ... 1610993 1610292 1608269],2019-11-08T23:59:59.996000,2019-11-08T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-05T23:59:59.996000,2019-12-05T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-19T23:59:59.996000,2019-12-19T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-30T23:59:59.996000,2019-12-30T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-28T23:59:59.996000,2019-11-28T00:00:00,250.0,10
ZZ,HHE,FWU4,[-744441 -744111 -744004 ...  506050  508042  506969],2019-11-07T23:59:59.996000,2019-11-07T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-19T23:59:59.996000,2019-11-19T00:00:00,250.0,10
ZZ,HHE,FWU4,[-486922 -485592 -486126 ...  401866  400862  398297],2019-11-02T23:59:59.996000,2019-11-02T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-27T23:59:59.996000,2019-12-27T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-15T23:59:59.996000,2019-11-15T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-24T23:59:59.996000,2019-12-24T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-29T23:59:59.996000,2019-12-29T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-10T23:59:59.996000,2019-12-10T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-11-27T23:59:59.996000,2019-11-27T00:00:00,250.0,10
ZZ,HHE,FWU4,[1605629 1603076 1601236 ... 1900918 1899281 1897792],2019-11-09T23:59:59.996000,2019-11-09T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-12T23:59:59.996000,2019-12-12T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-16T23:59:59.996000,2019-12-16T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-18T23:59:59.996000,2019-12-18T00:00:00,250.0,10
ZZ,HHE,FWU4,[  54286   53204   52001 ... -489852 -487586 -486872],2019-11-01T23:59:59.996000,2019-11-01T00:00:00,250.0,10
ZZ,HHE,FWU4,[-8269287 -8269287 -8269287 ... -8269287 -8269287 -8269287],2019-12-25T23:59:59.996000,2019-12-25T00:00:00,250.0,10
ZZ,HHN,FWU4,[  15058  -10038   -1540 ... -123456   67504   98353],2019-12-25T23:59:59.996000,2019-12-25T00:00:00,250.0,10
ZZ,HHN,FWU4,[-107460   14707   57827 ... -192404 -191045 -190666],2019-11-05T19:05:41.284000,2019-11-05T00:00:00,250.0,10
ZZ,HHN,FWU4,[  6759 -13781  -2844 ...   1515  54846   2837],2019-12-30T23:59:59.996000,2019-12-30T00:00:00,250.0,10
ZZ,HHN,FWU4,[   536    202     -1 ... -28664  -9849  10721],2019-11-01T23:59:59.996000,2019-11-01T00:00:00,250.0,10
ZZ,HHN,FWU4,[   -390    -401    -579 ...   65025 -137902   88470],2019-12-08T23:59:59.996000,2019-12-08T00:00:00,250.0,10
ZZ,HHN,FWU4,[-3027 -6991 -3067 ... -2866 29348 35757],2019-11-07T23:59:59.996000,2019-11-07T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -602 -1301 -2557 ... -1670 -1701 -3377],2019-12-11T23:59:59.996000,2019-12-11T00:00:00,250.0,10
ZZ,HHN,FWU4,[4441 2914 1165 ... -167  -20 -472],2019-12-07T23:59:59.996000,2019-12-07T00:00:00,250.0,10
ZZ,HHN,FWU4,[ -9578 -18496 -24638 ...  -5456 -17647  -2882],2019-12-23T23:59:59.996000,2019-12-23T00:00:00,250.0,10
