network,channel,station,data,endtime,starttime,sampling_rate,location
ZZ,HHE,FWU2,[3973 4663 5106 ... -334 -475 -772],2019-12-28T23:59:59.996000,2019-12-28T00:00:00,250.0,10
ZZ,HHE,FWU2,[ 746  852  745 ... 2804 2749 2702],2019-12-17T23:59:59.996000,2019-12-17T00:00:00,250.0,10
ZZ,HHE,FWU2,[1522 1843 2213 ... 2243 2054 2007],2019-11-14T23:59:59.996000,2019-11-14T00:00:00,250.0,10
ZZ,HHE,FWU2,[ -26 -287 -278 ... 1417 1280 1415],2019-11-22T23:59:59.996000,2019-11-22T00:00:00,250.0,10
ZZ,HHE,FWU2,[460 437 560 ... 308  77  43],2019-11-19T23:59:59.996000,2019-11-19T00:00:00,250.0,10
ZZ,HHE,FWU2,[1205 1177 1158 ... 2168 2314 2464],2019-12-30T23:59:59.996000,2019-12-30T00:00:00,250.0,10
ZZ,HHE,FWU2,[3601 3664 3704 ...  706  345  342],2019-11-21T23:59:59.996000,2019-11-21T00:00:00,250.0,10
ZZ,HHE,FWU2,[1555 1533 1250 ...  993 1129 1340],2019-11-25T23:59:59.996000,2019-11-25T00:00:00,250.0,10
ZZ,HHE,FWU2,[1172  997  950 ...  395  568  221],2019-12-05T23:59:59.996000,2019-12-05T00:00:00,250.0,10
ZZ,HHE,FWU2,[ 854  940 1018 ...  825  822  689],2019-11-02T23:59:59.996000,2019-11-02T00:00:00,250.0,10
ZZ,HHE,FWU2,[1515 1171 1073 ... 1930 1891 1962],2019-11-23T23:59:59.996000,2019-11-23T00:00:00,250.0,10
ZZ,HHE,FWU2,[2782 2036 1225 ... 1136  776  821],2019-11-13T23:59:59.996000,2019-11-13T00:00:00,250.0,10
ZZ,HHE,FWU2,[-396  491  373 ... 2102 1801 1694],2019-12-24T23:59:59.996000,2019-12-24T00:00:00,250.0,10
ZZ,HHE,FWU2,[1363 1255 1700 ... 1631 1592 1278],2019-11-27T23:59:59.996000,2019-11-27T00:00:00,250.0,10
ZZ,HHE,FWU2,[2639 2599 2639 ... 1151  957 1037],2019-12-18T23:59:59.996000,2019-12-18T00:00:00,250.0,10
ZZ,HHE,FWU2,[-743 -616 -542 ... 1208 1028 1008],2019-12-29T23:59:59.996000,2019-12-29T00:00:00,250.0,10
