network,channel,station,location,starttime,endtime,sampling_rate,mean_data,PC1,PC2
ZZ,HHE,FWU3,10,2019-11-22T00:00:00,2019-11-22T23:59:59.996000,250.0,-2176.6666666666665,-0.44610490197975017,0.08857558274915774
ZZ,HHE,FWU3,10,2019-11-18T00:00:00,2019-11-18T23:59:59.996000,250.0,-3731.6666666666665,-0.8506934861436474,0.2385902451539489
ZZ,HHE,FWU3,10,2019-12-16T00:00:00,2019-12-16T23:59:59.996000,250.0,-659.0,-0.04893189243625028,0.16211137945480086
ZZ,HHE,FWU3,10,2019-11-08T00:00:00,2019-11-08T23:59:59.996000,250.0,993.6666666666666,0.32545661924636377,-0.600916802597023
ZZ,HHE,FWU3,10,2019-11-03T00:00:00,2019-11-03T23:59:59.996000,250.0,1703.0,0.5755879503328651,0.142857430435211
ZZ,HHE,FWU3,10,2019-11-13T00:00:00,2019-11-13T23:59:59.996000,250.0,-1008.3333333333334,-0.13867999589010405,0.09811494955744907
ZZ,HHE,FWU3,10,2019-12-02T00:00:00,2019-12-02T23:59:59.996000,250.0,-3220.0,-0.797585184860145,0.40244477708627613
ZZ,HHE,FWU3,10,2019-11-04T00:00:00,2019-11-04T23:59:59.996000,250.0,-17391.333333333332,-4.710190611864801,-0.9067121594502102
ZZ,HHE,FWU3,10,2019-12-21T00:00:00,2019-12-21T23:59:59.996000,250.0,-15276.0,-4.023788827610561,-0.6963868981567856
ZZ,HHE,FWU3,10,2019-12-10T00:00:00,2019-12-10T23:59:59.996000,250.0,-1060.3333333333333,-0.15457374628209306,0.17274408995119622
ZZ,HHE,FWU3,10,2019-12-08T00:00:00,2019-12-08T23:59:59.996000,250.0,-50.666666666666664,0.10682678833069123,0.1512378030430971
ZZ,HHE,FWU3,10,2019-12-11T00:00:00,2019-12-11T23:59:59.996000,250.0,-681.6666666666666,-0.059712282245030245,0.36273502983998107
ZZ,HHE,FWU3,10,2019-12-17T00:00:00,2019-12-17T23:59:59.996000,250.0,2252.6666666666665,0.711293122562017,0.985290227165783
ZZ,HHE,FWU3,10,2019-11-10T00:00:00,2019-11-10T23:59:59.996000,250.0,-6357.0,-1.5950747168657695,-1.8543668847015762
