Unit Name,API,District,Field,Battery,Start Date,Downtime,Operating Time,Allocated HCLiq,Allocated Gas,Allocated Water,Injection Well - Gas,Injection Well - Water,,,,,,,,,,,,
FWU #4101,42357009990000,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4102,42357021920000,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4201,42357000040000,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4202 (INJ),42357811820000,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #4203 (INJ),42357020330001,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #4204 (INJ),42357010010000,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #4301,42357023690000,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #501,42357810720000,PANHANDLE,FWU,FARNSWORTH,9/1/19,6.00,714.00,"1,711.38","10,506.67","3,056.98",,,,,,,,,,,,,,
FWU #502 (INJ),42357023310000,PANHANDLE,FWU,FARNSWORTH,9/1/19,0.00,720.00,,,,0.00,"17,303.57",,,,,,,,,,,,
FWU #503,42357810740001,PANHANDLE,FWU,FARNSWORTH,9/1/19,6.00,714.00,"1,884.93","2,245.26","11,423.72",,,,,,,,,,,,,,
FWU #504,42357300510000,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #505,42357050509999,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #506,42357334110000,PANHANDLE,FWU,FARNSWORTH,9/1/19,0.00,720.00,686.85,"4,096.13",922.81,,,,,,,,,,,,,,
FWU #601,42357020640001,PANHANDLE,FWU,FARNSWORTH,9/1/19,206.00,514.00,175.28,"1,524.33","5,363.24",,,,,,,,,,,,,,
FWU #602,42357020630000,PANHANDLE,FWU,FARNSWORTH,9/1/19,6.00,714.00,787.78,419.66,"8,865.24",,,,,,,,,,,,,,
FWU #603 (INJ),42357303410000,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #701,42357020620000,PANHANDLE,FWU,FARNSWORTH,9/1/19,6.00,714.00,842.11,694.41,"6,992.84",,,,,,,,,,,,,,
FWU #702,42357810800000,PANHANDLE,FWU,FARNSWORTH,9/1/19,0.00,720.00,"1,176.24","19,146.39","16,764.03",,,,,,,,,,,,,,
FWU #703 (INJ),42357302540000,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #801,42357020650000,PANHANDLE,FWU,FARNSWORTH,9/1/19,0.00,720.00,"1,049.07","3,011.43","4,746.70",,,,,,,,,,,,,,
FWU #802,42357004140000,PANHANDLE,FWU,FARNSWORTH,9/1/19,0.00,720.00,"1,477.14","26,786.68","15,106.89",,,,,,,,,,,,,,
FWU #803 (INJ),42357810840000,PANHANDLE,FWU,FARNSWORTH,9/1/19,0.00,720.00,,,,"47,557.82",0.00,,,,,,,,,,,,
FWU #804 (INJ),42357003990000,PANHANDLE,FWU,FARNSWORTH,9/1/19,0.00,720.00,,,,"113,684.72",0.00,,,,,,,,,,,,
FWU #805 (INJ),42357301160000,PANHANDLE,FWU,FARNSWORTH,9/1/19,0.00,720.00,,,,0.00,"45,648.50",,,,,,,,,,,,
FWU #805 (SWD),42357301160001,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #806,42357330090000,PANHANDLE,FWU,FARNSWORTH,9/1/19,0.00,720.00,63.00,0.00,662.98,,,,,,,,,,,,,,
FWU #807,42357334050000,PANHANDLE,FWU,FARNSWORTH,9/1/19,22.00,698.00,848.27,619.31,"2,134.25",,,,,,,,,,,,,,
FWU #808,42357334130000,PANHANDLE,FWU,FARNSWORTH,9/1/19,76.00,644.00,309.77,"7,518.63","7,800.03",,,,,,,,,,,,,,
FWU #901,42357009390000,PANHANDLE,FWU,FARNSWORTH,9/1/19,0.00,720.00,902.70,"2,794.34","8,092.98",,,,,,,,,,,,,,
FWU #9010 (INJ),42357330770000,PANHANDLE,FWU,FARNSWORTH,9/1/19,0.00,720.00,,,,"63,235.89",0.00,,,,,,,,,,,,
FWU #902,42357023530000,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #903,42357009400000,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #904,42357022130000,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #906 (INJ),42357020340000,PANHANDLE,FWU,FARNSWORTH,9/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #907,42357810910000,PANHANDLE,FWU,FARNSWORTH,9/1/19,6.00,714.00,"1,358.24","42,419.19","23,576.95",,,,,,,,,,,,,,
FWU #908 (INJ),42357301860000,PANHANDLE,FWU,FARNSWORTH,9/1/19,0.00,720.00,,,,0.00,"41,661.45",,,,,,,,,,,,
FWU #909,42357330610000,PANHANDLE,FWU,FARNSWORTH,9/1/19,6.00,714.00,503.29,"1,443.75","3,695.53",,,,,,,,,,,,,,
FWU #1 (WSW),42357810690000,PANHANDLE,FWU,FARNSWORTH (INJ),10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #101 (INJ),42357009380000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1101 (INJ),42357020350000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1102,42357330000000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,"1,733.39","21,463.45","3,889.80",,,,,,,,,,,,,,
FWU #1202,42357319860000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1301 (INJ),42357007950000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,"12,649.26",0.00,,,,,,,,,,,,
FWU #1302,42357023500000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1303 (INJ),42357007940000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,0.00,"38,836.13",,,,,,,,,,,,
FWU #1304,42357023510000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1305 (INJ),42357007990000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,"52,601.47",0.00,,,,,,,,,,,,
FWU #1306,42357007960000,PANHANDLE,FWU,FARNSWORTH,10/1/19,152.00,592.00,"2,073.54","5,693.09","1,866.68",,,,,,,,,,,,,,
FWU #1307,42357023520000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1308,42357023490000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1309 (INJ),42357811020000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,"31,251.80",0.00,,,,,,,,,,,,
FWU #1310 (INJ),42357301030000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1310A (INJ),42357331790000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,"61,226.14",0.00,,,,,,,,,,,,
FWU #1311,42357301040000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1311 (SWD),42357301040001,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,0.00,"6,002.00",,,,,,,,,,,,
FWU #1312,42357330130000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,"4,598.11","36,803.27","4,318.89",,,,,,,,,,,,,,
FWU #1313 (INJ),42357333320000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1314,42357331890000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,"2,572.07","31,922.62","9,729.97",,,,,,,,,,,,,,
FWU #1315,42357333730000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,"1,950.71","1,548.36",263.75,,,,,,,,,,,,,,
FWU #1316,42357331930000,PANHANDLE,FWU,FARNSWORTH,10/1/19,96.00,648.00,833.12,"37,526.82","2,330.28",,,,,,,,,,,,,,
FWU #1317,42357333990000,PANHANDLE,FWU,FARNSWORTH,10/1/19,48.00,696.00,"1,196.34","67,640.98","1,700.06",,,,,,,,,,,,,,
FWU #1319,42357333740000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,696.68,"8,519.01","8,177.55",,,,,,,,,,,,,,
FWU #1401 (INJ),42357020410000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,0.00,"22,167.62",,,,,,,,,,,,
FWU #1402 (INJ),42357002670001,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1403 (INJ),42357020660000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1501,42357000600001,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1502 (INJ),42357007030000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,0.00,"18,810.45",,,,,,,,,,,,
FWU #1503 (INJ),42357006060000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1504,42357023340000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1505 (INJ),42357020300000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,"42,505.81",0.00,,,,,,,,,,,,
FWU #1506 (INJ),42357301210000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,"53,116.76",0.00,,,,,,,,,,,,
FWU #1507 (INJ),42357150709999,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1508,42357330630000,PANHANDLE,FWU,FARNSWORTH,10/1/19,29.00,715.00,371.99,"40,601.44","3,242.82",,,,,,,,,,,,,,
FWU #1509 (INJ),42357150909999,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1601 (INJ),42357020400000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1602,42357000770002,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,139.34,829.76,"10,055.43",,,,,,,,,,,,,,
FWU #1603 (INJ),42357004720000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,"16,848.63",0.00,,,,,,,,,,,,
FWU #1604,42357004760000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1605 (INJ),42357020370000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1606,42357329830000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,"2,407.39","71,787.05","9,781.01",,,,,,,,,,,,,,
FWU #1607,42357334230000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1802,42357319870000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,463.14,0.00,161.69,,,,,,,,,,,,,,
FWU #1902,42357806010000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1903 (INJ),42357806020000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2 (WSW),42357810700000,PANHANDLE,FWU,FARNSWORTH (INJ),10/1/19,0.00,744.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2001,42357004700000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2002,42357811240000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,"4,653.84",0.00,"7,483.88",,,,,,,,,,,,,,
FWU #2003,42357023810000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2004,42357811260001,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2005 (INJ),42357252290000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2006 (INJ),42357020360000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2007 (INJ),42357020450000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2008,42357020580000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,139.34,0.00,"8,637.78",,,,,,,,,,,,,,
FWU #2101 (INJ),42357020310000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2102 (INJ),42357020270000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2103,42357020670000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2104 (INJ),42357020280000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2301,42357020560000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2302,42357007760000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2303 (INJ),42357020290000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2304,42357007930000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2305,42357023680000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2306,42357811400000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2307 (INJ),42357020430000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2308,42357007790000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2309 (INJ),42357020380000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2310,42357300490000,PANHANDLE,FWU,FARNSWORTH,10/1/19,2.00,742.00,833.71,0.00,"3,848.99",,,,,,,,,,,,,,
FWU #2311,42357313550000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2501,42357811450000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2502,42357002270000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2502A,42357300990000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2503 (INJ),42357020460000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2601,42357811480000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2602 (INJ),42357020420000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2701,42357023320000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2702 (INJ),42357020510000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3001,42357002490000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3002,42357002510000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3003 (INJ),42357020470000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #301,42357009340000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3101,42357023370000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3102,42357023360000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3103 (INJ),42357020480000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3201,42357023450000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3202 (INJ),42357811590000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3203,42357022060000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3204 (INJ),42357811610000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3205 (INJ),42357317680001,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3206,42357319890000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3208,42357334100000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3301 (INJ),42357000290000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3303 (INJ),42357021340000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3401 (INJ),42357020500000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3402 (INJ),42357008730000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3403,42357319880000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3601 (INJ),42357020490000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3602,42357023350000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3701,42357811680000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #3702 (INJ),42357811690000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #3901,42357811710000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4001,42357811720000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4002,42357023480000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4003 (INJ),42357811740000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #4004,42357005140000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4005,42357023640000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4006,42357023650000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4007 (INJ),42357811780000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #4009,42357020570000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #401,42357001560000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4101,42357009990000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4102,42357021920000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4201,42357000040000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #4202 (INJ),42357811820000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #4203 (INJ),42357020330001,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #4204 (INJ),42357010010000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #4301,42357023690000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #501,42357810720000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,"2,010.48","3,169.64","2,498.26",,,,,,,,,,,,,,
FWU #502 (INJ),42357023310000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,0.00,"18,247.39",,,,,,,,,,,,
FWU #503,42357810740001,PANHANDLE,FWU,FARNSWORTH,10/1/19,6.00,738.00,"2,957.12","8,582.33","13,036.39",,,,,,,,,,,,,,
FWU #504,42357300510000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #505,42357050509999,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #506,42357334110000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,"1,254.03",23.82,"1,450.62",,,,,,,,,,,,,,
FWU #601,42357020640001,PANHANDLE,FWU,FARNSWORTH,10/1/19,480.00,264.00,148.55,"1,920.67","1,570.74",,,,,,,,,,,,,,
FWU #602,42357020630000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,808.15,564.55,"7,697.01",,,,,,,,,,,,,,
FWU #603 (INJ),42357303410000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #701,42357020620000,PANHANDLE,FWU,FARNSWORTH,10/1/19,5.00,739.00,780.13,669.00,"12,469.56",,,,,,,,,,,,,,
FWU #702,42357810800000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,792.34,"19,467.58","13,360.34",,,,,,,,,,,,,,
FWU #703 (INJ),42357302540000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #801,42357020650000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,"1,114.69","4,248.06","4,285.92",,,,,,,,,,,,,,
FWU #802,42357004140000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,"2,407.55","12,608.64","15,131.83",,,,,,,,,,,,,,
FWU #803 (INJ),42357810840000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,"33,612.93",0.00,,,,,,,,,,,,
FWU #804 (INJ),42357003990000,PANHANDLE,FWU,FARNSWORTH,10/1/19,24.00,720.00,,,,"109,615.26",0.00,,,,,,,,,,,,
FWU #805 (INJ),42357301160000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,0.00,"51,509.88",,,,,,,,,,,,
FWU #805 (SWD),42357301160001,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #806,42357330090000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,81.49,49.94,572.02,,,,,,,,,,,,,,
FWU #807,42357334050000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,891.75,833.73,"1,879.21",,,,,,,,,,,,,,
FWU #808,42357334130000,PANHANDLE,FWU,FARNSWORTH,10/1/19,615.00,129.00,24.83,460.76,"1,199.89",,,,,,,,,,,,,,
FWU #901,42357009390000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,919.62,"3,644.60","6,923.41",,,,,,,,,,,,,,
FWU #9010 (INJ),42357330770000,PANHANDLE,FWU,FARNSWORTH,10/1/19,0.00,744.00,,,,"100,507.95",0.00,,,,,,,,,,,,
FWU #902,42357023530000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #903,42357009400000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #904,42357022130000,PANHANDLE,FWU,FARNSWORTH,10/1/19,744.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
