Unit Name,API,District,Field,Battery,Start Date,Downtime,Operating Time,Allocated HCLiq,Allocated Gas,Allocated Water,Injection Well - Gas,Injection Well - Water,,,,,,,,,,,,
FWU #1604,42357004760000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1605 (INJ),42357020370000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #1606,42357329830000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,"4,523.45","41,890.81","10,203.00",,,,,,,,,,,,,,
FWU #1607,42357334230000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1802,42357319870000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,650.43,0.00,"1,255.13",,,,,,,,,,,,,,
FWU #1902,42357806010000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #1903 (INJ),42357806020000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2 (WSW),42357810700000,PANHANDLE,FWU,FARNSWORTH (INJ),6/1/19,0.00,720.00,0.00,0.00,"31,318.00",,,,,,,,,,,,,,
FWU #2001,42357004700000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2002,42357811240000,PANHANDLE,FWU,FARNSWORTH,6/1/19,56.00,664.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2003,42357023810000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2004,42357811260001,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2005 (INJ),42357252290000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2006 (INJ),42357020360000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2007 (INJ),42357020450000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2008,42357020580000,PANHANDLE,FWU,FARNSWORTH,6/1/19,0.00,720.00,147.83,0.00,"10,607.88",,,,,,,,,,,,,,
FWU #2101 (INJ),42357020310000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2102 (INJ),42357020270000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2103,42357020670000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
FWU #2104 (INJ),42357020280000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,,,,0.00,0.00,,,,,,,,,,,,
FWU #2301,42357020560000,PANHANDLE,FWU,FARNSWORTH,6/1/19,720.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
