Table 1
Unit Name,Type of Downtime Entry,First Day,Downtime on First Day,Downtime Code 1,Last Day,Downtime on Last Day,Total Downtime,,,,,,,,,,,,,,,,,,,
FWU #3205 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #3206,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #3208,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #3301 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #3303 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #3401 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #3402 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #3403,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #3601 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #3602,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #3701,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #3702 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #3901,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #4001,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #4002,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #4003 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #4004,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #4005,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #4006,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #4007 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #4009,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #401,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #4101,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #4102,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #4201,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #4202 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #4203 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #4204 (INJ),multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #4301,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #504,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #505,multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #603 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #703 (INJ),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #805 (SWD),multi day,4/1/18,24.00,Shut In,,,,,,,,,,,,,,,,,,,,,,
FWU #902,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #903,multi day,4/1/18,24.00,Shut In - Permanent,,,,,,,,,,,,,,,,,,,,,,
FWU #906 (INJ),multi day,4/9/18,24.00,Shut In - Temporary,,,,,,,,,,,,,,,,,,,,,,
FWU #1101 (INJ),multi day,3/18/19,24.00,Downhole Failure,,,,,,,,,,,,,,,,,,,,,,
FWU #2310,multi day,5/28/19,24.00,Power Failure,6/6/19,2.00,218.00,,,,,,,,,,,,,,,,,,,
FWU #701,single day,6/1/19,12.00,Power Failure,6/1/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #1508,single day,6/2/19,13.00,Power Failure,6/2/19,,13.00,,,,,,,,,,,,,,,,,,,
FWU #701,single day,6/2/19,24.00,Power Failure,6/2/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #602,single day,6/3/19,12.00,Downhole Failure,6/3/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #701,single day,6/3/19,24.00,Power Failure,6/3/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,6/3/19,12.00,Power Failure,6/3/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #602,single day,6/4/19,10.00,Downhole Failure,6/4/19,,10.00,,,,,,,,,,,,,,,,,,,
FWU #701,single day,6/4/19,24.00,Power Failure,6/4/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,6/4/19,12.00,Power Failure,6/4/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #1501,multi day,6/5/19,24.00,Downhole Failure,,,,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,6/6/19,12.00,Downhole Failure,6/6/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #909,single day,6/6/19,12.00,Downhole Failure,6/6/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #1309 (INJ),single day,6/7/19,24.00,Shut In - Temporary,6/7/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #2310,single day,6/7/19,0.00,Power Failure,6/7/19,,0.00,,,,,,,,,,,,,,,,,,,
FWU #601,single day,6/7/19,8.00,Downhole Failure,6/7/19,,8.00,,,,,,,,,,,,,,,,,,,
FWU #602,single day,6/7/19,8.00,Downhole Failure,6/7/19,,8.00,,,,,,,,,,,,,,,,,,,
FWU #908 (INJ),single day,6/7/19,24.00,Shut In - Temporary,6/7/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #601,single day,6/8/19,24.00,Downhole Failure,6/8/19,,24.00,,,,,,,,,,,,,,,,,,,
