Table 1
Unit Name,Type of Downtime Entry,First Day,Downtime on First Day,Downtime Code 1,Last Day,Downtime on Last Day,Total Downtime,,,,,,,,,,,,,,,,,,,
FWU #1319,single day,11/19/19,5.00,Power Failure,11/19/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #1508,single day,11/19/19,5.00,Power Failure,11/19/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #501,single day,11/19/19,5.00,Power Failure,11/19/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #503,single day,11/19/19,5.00,Power Failure,11/19/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #506,single day,11/19/19,,Downhole Failure,11/19/19,,0.00,,,,,,,,,,,,,,,,,,,
FWU #601,single day,11/19/19,5.00,,11/19/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #602,single day,11/19/19,5.00,Power Failure,11/19/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #701,single day,11/19/19,5.00,Power Failure,11/19/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #807,single day,11/19/19,5.00,Power Failure,11/19/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,11/19/19,5.00,Power Failure,11/19/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #907,single day,11/19/19,5.00,Power Failure,11/19/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #909,single day,11/19/19,5.00,Power Failure,11/19/19,,5.00,,,,,,,,,,,,,,,,,,,
FWU #1319,multi day,11/25/19,24.00,Downhole Failure,11/25/19,,,,,,,,,,,,,,,,,,,,,
FWU #808,single day,11/25/19,12.00,Downhole Failure,11/25/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #908 (INJ),multi day,11/28/19,,Pipeline Failure,11/28/19,,,,,,,,,,,,,,,,,,,,,
FWU #1319,multi day,12/1/19,,Surface Equipment Failure,12/1/19,,,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,12/2/19,8.00,Surface Equipment Failure,12/2/19,,8.00,,,,,,,,,,,,,,,,,,,
FWU #1602,single day,12/9/19,16.00,Pipeline High Pressure,12/9/19,,16.00,,,,,,,,,,,,,,,,,,,
FWU #1319,single day,12/10/19,24.00,Surface Equipment Failure,12/10/19,,24.00,,,,,,,,,,,,,,,,,,,
FWU #1602,single day,12/10/19,18.00,Surface Equipment Failure,12/10/19,,18.00,,,,,,,,,,,,,,,,,,,
FWU #506,single day,12/12/19,8.00,Downhole Failure,12/12/19,,8.00,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,12/16/19,6.00,Surface Equipment Failure,12/16/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #807,single day,12/16/19,6.00,Surface Equipment Failure,12/16/19,,6.00,,,,,,,,,,,,,,,,,,,
FWU #807,single day,12/23/19,10.00,Surface Equipment Failure,12/23/19,,10.00,slot 54,,,,,,,,,,,,,,,,,,
FWU #907,multi day,12/26/19,24.00,Downhole Failure,1/3/20,,192.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,12/28/19,12.00,Surface Equipment Failure,12/28/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #909,single day,12/28/19,12.00,Surface Equipment Failure,12/28/19,,12.00,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,1/1/20,10.00,Downhole Failure,1/1/20,,10.00,underload,,,,,,,,,,,,,,,,,,
FWU #1306,single day,1/8/20,8.00,Downhole Failure,1/8/20,,8.00,low frequency lock out,,,,,,,,,,,,,,,,,,
FWU #807,single day,1/12/20,10.00,Downhole Failure,1/12/20,,10.00,slot 54,,,,,,,,,,,,,,,,,,
FWU #808,single day,1/12/20,10.00,Downhole Failure,1/12/20,,10.00,slot  54,,,,,,,,,,,,,,,,,,
FWU #602,single day,1/16/20,11.00,Power Failure,1/16/20,,11.00,,,,,,,,,,,,,,,,,,,
FWU #602,single day,1/19/20,10.00,Power Failure,1/19/20,,10.00,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,1/20/20,12.00,Downhole Failure,1/20/20,,12.00,,,,,,,,,,,,,,,,,,,
FWU #1102,single day,1/24/20,24.00,Pipeline High Pressure,1/24/20,,24.00,,,,,,,,,,,,,,,,,,,
FWU #2002,multi day,1/25/20,24.00,Downhole Failure,1/30/20,24.00,144.00,grounded,,,,,,,,,,,,,,,,,,
FWU #701,single day,1/25/20,10.00,Power Failure,1/25/20,,10.00,bad incomming power,,,,,,,,,,,,,,,,,,
FWU #807,single day,1/25/20,10.00,Downhole Failure,1/25/20,,10.00,slot 54,,,,,,,,,,,,,,,,,,
FWU #808,single day,1/27/20,10.00,Downhole Failure,1/27/20,,10.00,slot 54,,,,,,,,,,,,,,,,,,
FWU #808,single day,1/28/20,10.00,Downhole Failure,1/28/20,,10.00,underload,,,,,,,,,,,,,,,,,,
FWU #1301 (INJ),multi day,1/30/20,24.00,Pipeline Failure,2/3/20,,96.00,,,,,,,,,,,,,,,,,,,
FWU #1102,multi day,1/31/20,,Pipeline Failure,2/14/20,,312.00,,,,,,,,,,,,,,,,,,,
FWU #808,single day,2/2/20,10,Downhole Failure,2/2/20,,10,,,,,,,,,,,,,,,,,,,
FWU #1306,multi day,2/5/20,10,Downhole Failure,2/5/20,,,,,,,,,,,,,,,,,,,,,
FWU #1301 (INJ),single day,2/6/20,,,2/6/20,,0,,,,,,,,,,,,,,,,,,,
FWU #1306,multi day,2/7/20,8,Well Workover,2/11/20,,79.9999999999999,,,,,,,,,,,,,,,,,,,
FWU #1317,multi day,2/9/20,24,Downhole Failure,2/12/20,,72,,,,,,,,,,,,,,,,,,,
FWU #808,single day,2/9/20,11,Downhole Failure,2/9/20,,11,,,,,,,,,,,,,,,,,,,
FWU #808,single day,2/12/20,10,Downhole Failure,2/12/20,,10,,,,,,,,,,,,,,,,,,,
FWU #1317,single day,2/13/20,,,2/13/20,,0,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,2/23/20,12,Downhole Failure,2/23/20,,12,,,,,,,,,,,,,,,,,,,
FWU #602,single day,2/23/20,8,Power Failure,2/23/20,,8,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,2/24/20,6,Downhole Failure,2/24/20,,6,underload,,,,,,,,,,,,,,,,,,
FWU #1319,single day,2/25/20,8,Surface Equipment Failure,2/25/20,,8,belts burned off,,,,,,,,,,,,,,,,,,
FWU #602,single day,3/1/20,3,Downhole Failure,3/1/20,,3,,,,,,,,,,,,,,,,,,,
FWU #602,multi day,3/2/20,24,Downhole Failure,3/6/20,,95.9999999999999,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,3/10/20,10,Power Failure,3/10/20,,10,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,3/13/20,12,Power Failure,3/13/20,,12,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,3/20/20,10,Power Failure,3/20/20,,10,,,,,,,,,,,,,,,,,,,
FWU #1602,single day,3/23/20,18,Power Failure,3/23/20,,18,,,,,,,,,,,,,,,,,,,
FWU #907,single day,3/25/20,10,Power Failure,3/25/20,,10,,,,,,,,,,,,,,,,,,,
FWU #907,single day,3/26/20,13,Power Failure,3/26/20,,13,,,,,,,,,,,,,,,,,,,
FWU #1102,multi day,3/27/20,24,Pipeline High Pressure,4/21/20,,600,,,,,,,,,,,,,,,,,,,
FWU #1312,single day,3/27/20,2,Power Failure,3/27/20,,2,,,,,,,,,,,,,,,,,,,
FWU #907,single day,3/27/20,2,Power Failure,3/27/20,,2,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,3/30/20,10,Power Failure,3/30/20,,10,,,,,,,,,,,,,,,,,,,
FWU #907,single day,3/30/20,12,Power Failure,3/30/20,,12,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,3/31/20,5,Power Failure,3/31/20,,5,,,,,,,,,,,,,,,,,,,
FWU #501,single day,3/31/20,24,Power Failure,3/31/20,,24,,,,,,,,,,,,,,,,,,,
FWU #503,single day,3/31/20,5,,3/31/20,,5,,,,,,,,,,,,,,,,,,,
FWU #601,single day,3/31/20,5,Power Failure,3/31/20,,5,,,,,,,,,,,,,,,,,,,
FWU #602,single day,3/31/20,5,Power Failure,3/31/20,,5,,,,,,,,,,,,,,,,,,,
FWU #701,single day,3/31/20,5,Power Failure,3/31/20,,5,,,,,,,,,,,,,,,,,,,
FWU #904,single day,3/31/20,5,Power Failure,3/31/20,,5,,,,,,,,,,,,,,,,,,,
FWU #907,single day,3/31/20,24,Power Failure,3/31/20,,24,,,,,,,,,,,,,,,,,,,
FWU #909,single day,3/31/20,5,Power Failure,3/31/20,,5,,,,,,,,,,,,,,,,,,,
FWU #501,single day,4/1/20,24,Pipeline High Pressure,4/1/20,,24,,,,,,,,,,,,,,,,,,,
FWU #907,single day,4/1/20,18,Surface Equipment Failure,4/1/20,,18,,,,,,,,,,,,,,,,,,,
FWU #501,multi day,4/2/20,24,Pipeline High Pressure,4/3/20,,24,,,,,,,,,,,,,,,,,,,
FWU #907,single day,4/4/20,10,Surface Equipment Failure,4/4/20,,10,,,,,,,,,,,,,,,,,,,
FWU #907,single day,4/5/20,9,Surface Equipment Failure,4/5/20,,9,,,,,,,,,,,,,,,,,,,
FWU #907,single day,4/6/20,12,Surface Equipment Failure,4/6/20,,12,,,,,,,,,,,,,,,,,,,
FWU #907,multi day,4/7/20,24,Surface Equipment Failure,4/7/20,,,,,,,,,,,,,,,,,,,,,
FWU #1602,multi day,4/8/20,,SI - Uneconomic,,,,,,,,,,,,,,,,,,,,,,
FWU #602,single day,4/9/20,13,Power Failure,4/9/20,,13,,,,,,,,,,,,,,,,,,,
FWU #907,single day,4/13/20,13,Surface Equipment Failure,4/13/20,,13,,,,,,,,,,,,,,,,,,,
FWU #602,single day,4/15/20,4,Surface Equipment Failure,4/15/20,,4,,,,,,,,,,,,,,,,,,,
FWU #601,single day,4/16/20,12,Surface Equipment Failure,4/16/20,,12,,,,,,,,,,,,,,,,,,,
FWU #702,multi day,4/16/20,24,SI - Uneconomic,6/29/20,,1776,,,,,,,,,,,,,,,,,,,
FWU #909,single day,4/16/20,12,Surface Equipment Failure,4/16/20,,12,,,,,,,,,,,,,,,,,,,
FWU #2310,single day,4/20/20,18,Pipeline Failure,4/20/20,,18,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,4/21/20,4,Power Failure,4/21/20,,4,,,,,,,,,,,,,,,,,,,
FWU #1102,multi day,4/22/20,,SI - Uneconomic,6/14/20,,1248,,,,,,,,,,,,,,,,,,,
FWU #802,multi day,4/22/20,,SI - Uneconomic,6/1/20,,935.999999999999,,,,,,,,,,,,,,,,,,,
FWU #807,multi day,4/22/20,,Downhole Failure,8/11/20,,2640,,,,,,,,,,,,,,,,,,,
FWU #904,multi day,4/22/20,,SI - Uneconomic,6/1/20,,935.999999999999,,,,,,,,,,,,,,,,,,,
FWU #909,multi day,4/22/20,,SI - Uneconomic,6/11/20,,1176,,,,,,,,,,,,,,,,,,,
FWU #1306,multi day,4/23/20,24,SI - Uneconomic,4/27/20,,95.9999999999999,,,,,,,,,,,,,,,,,,,
FWU #1312,multi day,4/23/20,24,SI - Uneconomic,4/27/20,,95.9999999999999,,,,,,,,,,,,,,,,,,,
FWU #1314,multi day,4/23/20,24,SI - Uneconomic,4/27/20,,95.9999999999999,,,,,,,,,,,,,,,,,,,
FWU #1315,multi day,4/23/20,24,SI - Uneconomic,4/27/20,,95.9999999999999,,,,,,,,,,,,,,,,,,,
FWU #1316,multi day,4/23/20,24,SI - Uneconomic,6/10/20,,1152,,,,,,,,,,,,,,,,,,,
FWU #1317,multi day,4/23/20,24,SI - Uneconomic,4/27/20,,95.9999999999999,,,,,,,,,,,,,,,,,,,
FWU #1319,multi day,4/23/20,24,SI - Uneconomic,5/21/20,,671.999999999999,,,,,,,,,,,,,,,,,,,
FWU #1508,multi day,4/23/20,24,SI - Uneconomic,6/9/20,,1128,,,,,,,,,,,,,,,,,,,
FWU #1606,multi day,4/23/20,24,SI - Uneconomic,5/4/20,,264,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,4/23/20,20,Shut In - Temporary,4/23/20,,20,,,,,,,,,,,,,,,,,,,
FWU #501,multi day,4/23/20,24,SI - Uneconomic,4/27/20,,95.9999999999999,,,,,,,,,,,,,,,,,,,
FWU #503,multi day,4/23/20,20,SI - Uneconomic,4/27/20,,91.9999999999999,,,,,,,,,,,,,,,,,,,
FWU #506,multi day,4/23/20,24,SI - Uneconomic,5/1/20,,192,,,,,,,,,,,,,,,,,,,
FWU #601,multi day,4/23/20,24,SI - Uneconomic,6/10/20,,1152,,,,,,,,,,,,,,,,,,,
FWU #602,multi day,4/23/20,24,SI - Uneconomic,4/27/20,,95.9999999999999,,,,,,,,,,,,,,,,,,,
FWU #701,multi day,4/23/20,24,SI - Uneconomic,5/18/20,,600,,,,,,,,,,,,,,,,,,,
FWU #801,multi day,4/23/20,24,SI - Uneconomic,6/8/20,,1104,,,,,,,,,,,,,,,,,,,
FWU #806,multi day,4/23/20,24,SI - Uneconomic,6/1/20,,935.999999999999,,,,,,,,,,,,,,,,,,,
FWU #808,multi day,4/23/20,24,SI - Uneconomic,6/10/20,,1152,,,,,,,,,,,,,,,,,,,
FWU #901,multi day,4/23/20,24,SI - Uneconomic,4/27/20,,95.9999999999999,,,,,,,,,,,,,,,,,,,
FWU #907,multi day,4/23/20,24,SI - Uneconomic,6/10/20,,1152,,,,,,,,,,,,,,,,,,,
FWU #1501,single day,4/26/20,,SI - Uneconomic,4/26/20,,0,,,,,,,,,,,,,,,,,,,
FWU #1501,multi day,4/26/20,,,5/6/20,,216,,,,,,,,,,,,,,,,,,,
FWU #2008,multi day,4/27/20,,SI - Uneconomic,5/26/20,,671.999999999999,,,,,,,,,,,,,,,,,,,
FWU #1301 (INJ),multi day,4/29/20,,,6/8/20,,935.999999999999,,,,,,,,,,,,,,,,,,,
FWU #1303 (INJ),multi day,4/29/20,,,5/12/20,,288,,,,,,,,,,,,,,,,,,,
FWU #1505 (INJ),multi day,4/29/20,,,5/26/20,,624,,,,,,,,,,,,,,,,,,,
FWU #1603 (INJ),multi day,4/29/20,,,6/8/20,,935.999999999999,,,,,,,,,,,,,,,,,,,
FWU #804 (INJ),multi day,4/29/20,,,6/8/20,,935.999999999999,,,,,,,,,,,,,,,,,,,
FWU #805 (INJ),multi day,4/29/20,,,6/5/20,,863.999999999999,,,,,,,,,,,,,,,,,,,
FWU #9010 (INJ),multi day,4/29/20,,,5/26/20,,624,,,,,,,,,,,,,,,,,,,
FWU #908 (INJ),multi day,4/29/20,,,,,,,,,,,,,,,,,,,,,,,,
FWU #1502 (INJ),multi day,5/2/20,,SI - Uneconomic,5/7/20,,95.9999999999999,,,,,,,,,,,,,,,,,,,
FWU #602,single day,5/6/20,14,Power Failure,5/6/20,,14,,,,,,,,,,,,,,,,,,,
FWU #1502 (INJ),multi day,5/8/20,,Pipeline Failure,8/2/20,,2040,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,5/12/20,8,Downhole Failure,5/12/20,,8,,,,,,,,,,,,,,,,,,,
FWU #1303 (INJ),single day,5/13/20,,,5/13/20,,0,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,5/14/20,9,Downhole Failure,5/14/20,,9,,,,,,,,,,,,,,,,,,,
FWU #1802,multi day,5/15/20,,Engine Repairs,5/16/20,,0,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,5/18/20,8,Downhole Failure,5/18/20,,8,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,5/20/20,8,Downhole Failure,5/20/20,,8,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,5/22/20,8,Downhole Failure,5/22/20,,8,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,5/23/20,12,Downhole Failure,5/23/20,,12,,,,,,,,,,,,,,,,,,,
FWU #1319,single day,5/27/20,,,5/27/20,,0,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,5/30/20,10,Downhole Failure,5/30/20,,10,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,5/30/20,10,Downhole Failure,5/30/20,,10,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,6/2/20,8,Downhole Failure,6/2/20,,8,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,6/3/20,10,Downhole Failure,6/3/20,,10,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,6/3/20,8,Downhole Failure,6/3/20,,8,,,,,,,,,,,,,,,,,,,
FWU #1306,multi day,6/5/20,,Downhole Failure,6/26/20,,480,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,6/5/20,8,Downhole Failure,6/5/20,,8,,,,,,,,,,,,,,,,,,,
FWU #1310A (INJ),multi day,6/6/20,,Pipeline Failure,6/9/20,,48,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,6/6/20,8,Downhole Failure,6/6/20,,8,,,,,,,,,,,,,,,,,,,
FWU #2310,single day,6/9/20,8,Power Failure,6/9/20,,8,,,,,,,,,,,,,,,,,,,
FWU #801,single day,6/10/20,24,Pipeline Failure,6/10/20,,24,,,,,,,,,,,,,,,,,,,
FWU #909,multi day,6/12/20,,Downhole Failure,,,,,,,,,,,,,,,,,,,,,,
FWU #601,multi day,6/13/20,24,Pipeline Failure,6/13/20,,,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,6/16/20,10,Downhole Failure,6/16/20,,10,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,6/17/20,10,Downhole Failure,6/17/20,,10,,,,,,,,,,,,,,,,,,,
FWU #907,single day,6/17/20,10,Downhole Failure,6/17/20,,10,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,6/18/20,10,Downhole Failure,6/18/20,,10,,,,,,,,,,,,,,,,,,,
FWU #808,single day,6/20/20,,Downhole Failure,6/20/20,,0,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,6/21/20,10,Downhole Failure,6/21/20,,10,,,,,,,,,,,,,,,,,,,
FWU #1312,single day,6/22/20,12,Power Failure,6/22/20,,12,,,,,,,,,,,,,,,,,,,
FWU #1319,single day,6/22/20,12,Power Failure,6/22/20,,12,,,,,,,,,,,,,,,,,,,
FWU #1508,single day,6/22/20,12,Power Failure,6/22/20,,12,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,6/22/20,12,Power Failure,6/22/20,,12,,,,,,,,,,,,,,,,,,,
FWU #2310,single day,6/22/20,12,Power Failure,6/22/20,,12,,,,,,,,,,,,,,,,,,,
FWU #506,single day,6/22/20,12,Power Failure,6/22/20,,12,,,,,,,,,,,,,,,,,,,
FWU #601,single day,6/22/20,12,Power Failure,6/22/20,,12,,,,,,,,,,,,,,,,,,,
FWU #602,single day,6/22/20,12,Power Failure,6/22/20,,12,,,,,,,,,,,,,,,,,,,
FWU #602,Single Day,6/22/20,,,6/22/20,,0,,,,,,,,,,,,,,,,,,,
FWU #701,single day,6/22/20,12,Power Failure,6/22/20,,12,,,,,,,,,,,,,,,,,,,
FWU #904,single day,6/22/20,12,Power Failure,6/22/20,,12,,,,,,,,,,,,,,,,,,,
FWU #907,single day,6/22/20,12,Power Failure,6/22/20,,12,,,,,,,,,,,,,,,,,,,
FWU #1312,single day,6/23/20,5,Power Failure,6/23/20,,5,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,6/23/20,7,Power Failure,6/23/20,,7,,,,,,,,,,,,,,,,,,,
FWU #1508,single day,6/23/20,5,Power Failure,6/23/20,,5,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,6/23/20,24,Power Failure,6/23/20,,24,,,,,,,,,,,,,,,,,,,
FWU #601,single day,6/23/20,5,Power Failure,6/23/20,,5,,,,,,,,,,,,,,,,,,,
FWU #602,single day,6/23/20,24,Power Failure,6/23/20,,24,,,,,,,,,,,,,,,,,,,
FWU #701,multi day,6/23/20,24,Power Failure,6/24/20,,24,,,,,,,,,,,,,,,,,,,
FWU #808,single day,6/23/20,12,Power Failure,6/23/20,,12,,,,,,,,,,,,,,,,,,,
FWU #907,single day,6/23/20,5,Power Failure,6/23/20,,5,,,,,,,,,,,,,,,,,,,
FWU #1309 (INJ),multi day,6/25/20,24,Pipeline Failure,8/15/20,,1224,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,6/25/20,8,Downhole Failure,6/25/20,,8,,,,,,,,,,,,,,,,,,,
FWU #602,single day,6/25/20,8,Downhole Failure,6/25/20,,8,,,,,,,,,,,,,,,,,,,
FWU #602,single day,6/26/20,8,Downhole Failure,6/26/20,,8,,,,,,,,,,,,,,,,,,,
FWU #602,single day,6/27/20,8,Downhole Failure,6/27/20,,8,,,,,,,,,,,,,,,,,,,
FWU #1508,single day,6/29/20,15,Downhole Failure,6/29/20,,15,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,6/30/20,10,Downhole Failure,6/30/20,,10,,,,,,,,,,,,,,,,,,,
FWU #601,single day,6/30/20,10,Downhole Failure,6/30/20,,10,,,,,,,,,,,,,,,,,,,
FWU #907,single day,7/5/20,12,Power Failure,7/5/20,,12,,,,,,,,,,,,,,,,,,,
FWU #907,single day,7/7/20,18,Downhole Failure,7/7/20,,18,,,,,,,,,,,,,,,,,,,
FWU #1508,single day,7/9/20,12,Surface Equipment Failure,7/9/20,,12,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,7/11/20,18,Surface Equipment Failure,7/11/20,,18,fan cooling,,,,,,,,,,,,,,,,,,
FWU #1508,single day,7/11/20,19,Surface Equipment Failure,7/11/20,,19,fan cooling,,,,,,,,,,,,,,,,,,
FWU #1306,single day,7/12/20,12,Downhole Failure,7/12/20,,12,,,,,,,,,,,,,,,,,,,
FWU #907,single day,7/12/20,12,Power Failure,7/12/20,,12,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,7/13/20,12,Downhole Failure,7/13/20,,12,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,7/13/20,15,Surface Equipment Failure,7/13/20,,15,fan cooling,,,,,,,,,,,,,,,,,,
FWU #1508,single day,7/13/20,15,Surface Equipment Failure,7/13/20,,15,fan cooling,,,,,,,,,,,,,,,,,,
FWU #1315,single day,7/15/20,8,Surface Equipment Failure,7/15/20,,8,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,7/17/20,8,Downhole Failure,7/17/20,,8,,,,,,,,,,,,,,,,,,,
FWU #503,single day,7/20/20,8,Downhole Failure,7/20/20,,8,,,,,,,,,,,,,,,,,,,
FWU #1306,multi day,7/22/20,24,Pipeline Failure,7/28/20,,144,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,7/22/20,20,Downhole Failure,7/22/20,,20,,,,,,,,,,,,,,,,,,,
FWU #503,multi day,7/22/20,24,Downhole Failure,7/29/20,,168,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,7/24/20,16,Downhole Failure,7/24/20,,16,,,,,,,,,,,,,,,,,,,
FWU #601,single day,7/24/20,6,Downhole Failure,7/24/20,,6,,,,,,,,,,,,,,,,,,,
FWU #1319,multi day,7/26/20,24,Downhole Failure,,,,,,,,,,,,,,,,,,,,,,
FWU #702,single day,8/4/20,18,Pipeline High Pressure,8/4/20,,18,,,,,,,,,,,,,,,,,,,
FWU #2310,single day,8/5/20,24,Power Failure,8/5/20,,24,,,,,,,,,,,,,,,,,,,
FWU #602,single day,8/5/20,4,Power Failure,8/5/20,,4,,,,,,,,,,,,,,,,,,,
FWU #907,single day,8/5/20,8,Downhole Failure,8/5/20,,8,,,,,,,,,,,,,,,,,,,
FWU #808,single day,8/7/20,8,Downhole Failure,8/7/20,,8,,,,,,,,,,,,,,,,,,,
FWU #907,single day,8/7/20,8,Downhole Failure,8/7/20,,8,,,,,,,,,,,,,,,,,,,
FWU #1501,multi day,8/10/20,24,Downhole Failure,8/13/20,,72,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,8/12/20,18,Power Failure,8/12/20,,18,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,8/13/20,14,Power Failure,8/13/20,,14,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #1312,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #1317,single day,8/14/20,8,Power Failure,8/14/20,,8,,,,,,,,,,,,,,,,,,,
FWU #1508,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,8/14/20,13,Power Failure,8/14/20,,13,,,,,,,,,,,,,,,,,,,
FWU #2008,single day,8/14/20,13,Power Failure,8/14/20,,13,,,,,,,,,,,,,,,,,,,
FWU #2310,single day,8/14/20,13,Power Failure,8/14/20,,13,,,,,,,,,,,,,,,,,,,
FWU #501,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #503,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #506,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #601,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #602,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #701,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #702,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #807,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #808,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #904,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #907,single day,8/14/20,11,Power Failure,8/14/20,,11,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #1312,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #1315,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #1508,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #2002,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #2008,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #2310,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #501,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #503,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #506,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #601,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #602,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #701,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #702,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #808,single day,8/15/20,12,Power Failure,8/15/20,,12,,,,,,,,,,,,,,,,,,,
FWU #904,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #907,single day,8/15/20,24,Power Failure,8/15/20,,24,,,,,,,,,,,,,,,,,,,
FWU #1306,single day,8/16/20,24,Power Failure,8/16/20,,24,,,,,,,,,,,,,,,,,,,
