Table 1
Unit Name,Meter Name,Date,End Reading,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/10/19,504.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/10/19,635.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/10/19,969.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/10/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/10/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/10/19,"119,684.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/10/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/10/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/10/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/10/19,"1,236.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/10/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/10/19,734.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/11/19,"5,728.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/11/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/11/19,"1,265.00",,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/11/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/11/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/11/19,650.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/11/19,906.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/11/19,"119,760.00",,,,,,,
FWU #805 (INJ),FWU #805 Water,7/11/19,"1,244.00",,,,,,,
FWU #908 (INJ),FWU #908 Water,7/11/19,717.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/12/19,"5,698.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/12/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/12/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/12/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/12/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/12/19,"1,192.00",,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/12/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/12/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/12/19,0.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/12/19,595.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/12/19,915.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/12/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/12/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/12/19,"119,836.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/12/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/12/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/12/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/12/19,"1,177.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/12/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/12/19,689.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/13/19,"5,045.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/13/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/13/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/13/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/13/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/13/19,"1,191.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/13/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/13/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/13/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/13/19,0.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/13/19,826.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/13/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/13/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/13/19,"119,919.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/13/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/13/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/13/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/13/19,"1,174.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/13/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/13/19,692.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/14/19,"5,416.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/14/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/14/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/14/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/14/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/14/19,"1,189.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/14/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/14/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/14/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/14/19,114.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/14/19,600.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/14/19,858.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/14/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/14/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/14/19,"119,991.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/14/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/14/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/14/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/14/19,"1,191.00",,,,,,,
FWU #908 (INJ),FWU #908 Water,7/14/19,699.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/15/19,"5,493.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/15/19,190.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/15/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/15/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/15/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/15/19,"1,167.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/15/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/15/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/15/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/15/19,288.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/15/19,526.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/15/19,791.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/15/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/15/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/15/19,"120,069.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/15/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/15/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/15/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/15/19,"1,135.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/15/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/15/19,673.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/16/19,"5,650.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/16/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/16/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/16/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/16/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/16/19,"1,110.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/16/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/16/19,289.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/16/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/16/19,248.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/16/19,443.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/16/19,764.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/16/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/16/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/16/19,"120,140.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/16/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/16/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/16/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/16/19,"1,104.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/16/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/16/19,645.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/17/19,"5,722.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/17/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/17/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/17/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/17/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/17/19,"1,229.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/17/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/17/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/17/19,147.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/17/19,616.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/17/19,889.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/17/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/17/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/17/19,"120,215.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/17/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/17/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/17/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/17/19,"1,176.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/17/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/17/19,713.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/18/19,"5,761.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/18/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/18/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/18/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/18/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/18/19,"1,198.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/18/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/18/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/18/19,176.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/18/19,620.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/18/19,885.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/18/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/18/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/18/19,"120,304.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/18/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/18/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/18/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/18/19,"1,143.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/18/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/18/19,717.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/19/19,"5,704.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/19/19,78.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/19/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/19/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/19/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/19/19,"1,204.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/19/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/19/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/19/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/19/19,256.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/19/19,523.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/19/19,903.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/19/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/19/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/19/19,"120,371.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/19/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/19/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/19/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/19/19,"1,105.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/19/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/19/19,667.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/20/19,"5,929.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/20/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/20/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/20/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/20/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/20/19,"1,131.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/20/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/20/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/20/19,7.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/20/19,174.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/20/19,535.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/20/19,865.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/20/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/20/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/20/19,"120,456.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/20/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/20/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/20/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/20/19,"1,136.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/20/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/20/19,653.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/21/19,"5,642.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/21/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/21/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/21/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/21/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/21/19,"1,126.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/21/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/21/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/21/19,10.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/21/19,302.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/21/19,569.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/21/19,834.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/21/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/21/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/21/19,"120,525.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/21/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/21/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/21/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/21/19,"1,125.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/21/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/21/19,698.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/22/19,"5,482.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/22/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/22/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/22/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/22/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/22/19,"1,164.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/22/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/22/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/22/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/22/19,412.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/22/19,666.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/22/19,874.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/22/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/22/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/22/19,"120,607.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/22/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/22/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/22/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/22/19,"1,186.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/22/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/22/19,0.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/23/19,"5,430.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/23/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/23/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/23/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/23/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/23/19,"1,173.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/23/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/23/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/23/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/23/19,425.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/23/19,667.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/23/19,926.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/23/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/23/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/23/19,"120,676.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/23/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/23/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/23/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/23/19,"1,217.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/23/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/23/19,37.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/24/19,"5,773.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/24/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/24/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/24/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/24/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/24/19,"1,145.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/24/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/24/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/24/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/24/19,375.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/24/19,696.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/24/19,890.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/24/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/24/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/24/19,"120,754.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/24/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/24/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/24/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/24/19,"1,198.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/24/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/24/19,280.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/25/19,"5,551.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/25/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/25/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/25/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/25/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/25/19,"1,088.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/25/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/25/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/25/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/25/19,364.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/25/19,604.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/25/19,893.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/25/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/25/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/25/19,"120,825.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/25/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/25/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/25/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/25/19,"1,143.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/25/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/25/19,729.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/26/19,"5,620.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/26/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/26/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/26/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/26/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/26/19,"1,092.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/26/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/26/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/26/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/26/19,353.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/26/19,627.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/26/19,872.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/26/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/26/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/26/19,"120,908.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/26/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/26/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/26/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,7/26/19,"1,149.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,7/26/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,7/26/19,769.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,7/27/19,"5,534.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,7/27/19,0.00,,,,,,,
FWU #1301 (INJ),FWU #1301 Water,7/27/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,7/27/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,7/27/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,7/27/19,"1,091.00",,,,,,,
FWU #1310A (INJ),FWU #1310A Water,7/27/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,7/27/19,0.00,,,,,,,
FWU #1313 (INJ),FWU #1313 Water,7/27/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,7/27/19,355.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,7/27/19,530.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,7/27/19,616.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,7/27/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,7/27/19,0.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,7/27/19,"120,983.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,7/27/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,7/27/19,0.00,,,,,,,
FWU #804 (INJ),FWU #804 Water,7/27/19,0.00,,,,,,,
