Table 1
Unit Name,Meter Name,Date,End Reading,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/2/19,"1,475.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/2/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,6/2/19,745.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/3/19,"7,242.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/3/19,"2,085.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/3/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/3/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/3/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,6/3/19,534.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/3/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/3/19,"1,697.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/3/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/3/19,490.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/3/19,150.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/3/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/3/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/3/19,515.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/3/19,"117,049.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/3/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,6/3/19,"1,657.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/3/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/3/19,"1,471.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/3/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,6/3/19,741.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/4/19,"7,355.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/4/19,"2,062.00",,,,,,,
FWU #1301 (INJ),FWU #1301 Water,6/4/19,0.00,,,,,,,
FWU #1303 (INJ),FWU #1303 Water,6/4/19,0.00,,,,,,,
FWU #1305 (INJ),FWU #1305 Water,6/4/19,0.00,,,,,,,
FWU #1309 (INJ),FWU #1309 Water,6/4/19,535.00,,,,,,,
FWU #1310A (INJ),FWU #1310A Water,6/4/19,0.00,,,,,,,
FWU #1311 (SWD),FWU #1311 (SWD) Water Meter,6/4/19,"1,997.00",,,,,,,
FWU #1313 (INJ),FWU #1313 Water,6/4/19,0.00,,,,,,,
FWU #1401 (INJ),FWU #1401 Water,6/4/19,477.00,,,,,,,
FWU #1502 (INJ),FWU #1502 Water,6/4/19,389.00,,,,,,,
FWU #1505 (INJ),FWU #1505 Water,6/4/19,0.00,,,,,,,
FWU #1506 (INJ),FWU #1506 Water,6/4/19,0.00,,,,,,,
FWU #1603 (INJ),FWU #1603 Water,6/4/19,511.00,,,,,,,
FWU #2 (WSW),Water Well Meter #2,6/4/19,"117,137.00",,,,,,,
FWU #502 (INJ),FWU #502 Water,6/4/19,0.00,,,,,,,
FWU #803 (INJ),FWU #803 Water,6/4/19,"1,627.00",,,,,,,
FWU #804 (INJ),FWU #804 Water,6/4/19,0.00,,,,,,,
FWU #805 (INJ),FWU #805 Water,6/4/19,"1,460.00",,,,,,,
FWU #9010 (INJ),FWU #9010 Water,6/4/19,0.00,,,,,,,
FWU #908 (INJ),FWU #908 Water,6/4/19,743.00,,,,,,,
FARNSWORTH CENTRAL TB,FWU CTB Charge Pump,6/5/19,"7,307.00",,,,,,,
FARNSWORTH CENTRAL TB,FWU WSP,6/5/19,"1,892.00",,,,,,,
